----- Никогда не редактируйте этот файл! Используйте шрифт MS San Serif. -----
Номер	Наименование	Мин.	Макс.	Исходная
5	swMaket4m      	0	1	0
6	swErr@Fail2PLC 	0	1	0
7	sw2RC          	0	1	0
8	swC16@Asym     	0	1	0
9	swInvertGenOn  	0	1	0
10	swPult_OR_DI   	0	1	1
11	swCheckPhaseIg 	0	1	0
12	swU16ResExc    	0	1	1
14	swNoHistSetCtrl	0	1	0
15	swEstopNoSensIg	0	1	0
70	MinUg          	0	0,8	0,7
71	tMinUg s       	0	30	1
72	MaxUg          	1,12	1,25	1,15
73	tMaxUg s       	0	30	1
74	HugeUg         	1,2	1,35	1,3
75	tHugeUg s      	0	30	2,5
82	CorrIfOvl      	0	2	1
84	Xp             	0,1	0,5	0,362
86	If@Ug=0,8      	0,01	2	0,235
87	If@Ug=0,9      	0,01	2	0,28
88	If@Ug=1,0      	0,01	2	0,319
89	If@Ug=1,1      	0,01	2	0,385
90	If@Ug=1,2      	0,01	2	0,464
91	If@Ug=1,3      	0,01	2	0,619
92	If@Ug=1,5      	0,01	2	1,423
97	TaUrms s       	0	0,5	0
101	CorrUg         	0	5	1,027
110	hUgCA          	0	2	0,1
111	hUgABorBC      	0	2	0,02
112	hUgB           	0	2	0,04
113	hCompareUg     	0,05	2	0,1
114	Ie@CheckUg     	0	3	0,2
115	Ug@CheckUg     	0,03	0,7	0,03
123	kXq            	0	1	0,3441
125	CorrEq         	0	5	1
131	h120 gr        	1	40	10
141	CorrUbar       	0	3	1,026
142	TaUbar s       	0	5	0,3
161	CorrIg         	0	5	1,012
163	CorrIgOvl      	0	2	1
165	Ig@GenOnBar    	0,01	2,5	0,2
166	CorrIgEstop    	0	5	2
191	CorrPhi gr     	-179,5	179,5	120,9
192	CosNom         	0,8	0,95	0,9
193	swCosNom=0,98  	0	1	0
194	swCosNom=0,92  	0	1	0
201	CorrIg2        	0	6	1
211	CorrPhi2 gr    	-179,5	179,5	0
241	CorrIe         	0	5	1,469
243	CorrIe(A-C)    	-0,1	0,1	0
248	CorrIeEstop    	0	5	1,2
249	CorrBiasIeA    	-0,1	0,1	0
250	CorrBiasIeC    	-0,1	0,1	0
261	CorrUf         	0	4	1,36
262	TaUf s         	0	1	0
271	CorrUfRes      	0	20	1
272	OffsetUfRes mA 	0	50	4
273	TaUfRes s      	0,2	1	0,2
274	Min(UfRes/Uf)  	1,04	1,5	1,2
275	Max(UfRes/Uf)  	1,09	1,5	1,3
281	CorrUsyn       	0	3	1,013
282	TaUsyn s       	0,01	0,1	0,02
289	tLossUsyn s    	0,02	1,5	0,5
290	hUsynCA        	0	2	0,08
291	hUsynABorBC    	0	2	0,02
292	hUsynB         	0	2	0,04
293	hCompareUsyn   	0,02	2	0,15
300	HeatF          	0	1,01	0
301	If.1           	1,02	1,15	1,1
302	tIf1 s         	60	4000	1600
303	If.2           	1,05	1,48	1,2
304	tIf2 s         	30	4000	210
305	If.3           	1,05	1,48	1,3
306	tIf3 s         	10	4000	150
307	If.4           	1,05	1,48	1,4
308	tIf4 s         	4	4000	100
310	tIf=1,5 s      	4	300	80
312	tIf=2,0 s      	4	60	43
314	TaCoolF s      	60	1800	1000
315	HeatFrpt       	0	0,9	0,05
316	HeatFfail      	1,03	1,2	1,07
320	HeatG          	0	1,01	0
321	Ig.1           	1,02	1,15	1,1
322	tIg1 s         	60	4000	3000
323	Ig.2           	1,05	1,48	1,15
324	tIg2 s         	30	4000	750
325	Ig.3           	1,05	1,48	1,2
326	tIg3 s         	10	4000	300
327	Ig.4           	1,08	1,48	1,3
328	tIg4 s         	4	4000	200
330	tIg=1,5 s      	4	300	100
332	tIg=2,0 s      	4	60	50
334	TaCoolG s      	60	1800	240
335	HeatGrpt       	0	0,9	0,05
336	HeatGfail      	1,03	1,2	1,07
341	P1             	0,05	1,3	0,399
342	P2             	0,05	1,3	0,678
343	P3             	0,05	1,3	1
344	P4             	0,05	1,3	1,111
345	Ql@P=0         	-3	-0,01	-1,333
346	Ql@P1          	-3	-0,01	-1,2
347	Ql@P2          	-3	0,6	-0,933
348	Ql@P3          	-3	0,6	-0,267
349	Ql@P4          	-3	0,6	-0,008
350	Qm@P=0         	-3	-0,01	-1,645
351	Qm@P1          	-3	-0,01	-1,481
352	Qm@P2          	-3	0,6	-1,152
353	Qm@P3          	-3	0,6	-0,329
354	Qm@P4          	-3	0,6	-0,01
355	Qh@P=0         	-3	-0,01	-1,991
356	Qh@P1          	-3	-0,01	-1,792
357	Qh@P2          	-3	0,6	-1,394
358	Qh@P3          	-3	0,6	-0,398
359	Qh@P4          	-3	0,6	-0,012
361	MaxTrot gr     	0	200	130
362	BiasTrot gr    	-500	500	235
363	kTrot gr       	0	500	351
364	Ubrush         	0	0,5	0,005
